# b7dfce0a-5687-444d-9d11-9d01df0455fe,,,,,,
# 8c2562dac6845e79cf9c17e518b65f3bfb35dd47,,,,,,
# s_m, x_m, y_m, psi_rad, kappa_radpm, vx_mps, ax_mps2
0,-0.1722141,-0.0644602,1.5869,0.0272589,5.8732067,0.961062
0.2999664,-0.1780299,0.2361866,1.8924,0.0097781,5.9220883,0.8885371
0.5999328,-0.1846959,0.5354451,1.8927,-0.0069023,5.9669249,0.8214853
0.8998992,-0.1910714,0.836249,1.8914,-0.0015945,6.0080802,0.7594933
1.1998655,-0.1972705,1.1354539,1.8918,0.0030953,6.0458807,0.7021795
1.4998319,-0.20372,1.4363154,1.8926,0.0022748,6.0806195,0.6491907
1.7997983,-0.2103424,1.735687,1.8931,0.001834,6.1125612,0.6002007
2.0997647,-0.2171728,2.0364292,1.8938,0.0027645,6.1419447,0.5549076
2.3997311,-0.2242297,2.3361824,1.8948,0.0034465,6.1689863,0.5130325
2.6996975,-0.2316013,2.6362329,1.8958,0.0036351,6.1938822,0.4743174
2.9996638,-0.2393113,2.9368226,1.8969,0.0031607,6.2168107,0.4385239
3.2996302,-0.2472451,3.235187,1.8977,0.0021004,6.237934,0.4054314
3.5995966,-0.2554654,3.5370697,1.8982,0.0012537,6.2573998,0.3748363
3.899563,-0.2636939,3.8351875,1.8984,-0.0012429,6.2753429,0.3465499
4.1995294,-0.2718062,4.1358666,1.8965,-0.0114244,6.2918864,0.3203981
4.4994958,-0.2789756,4.4356467,1.8934,-0.0011476,6.307143,-4.4306829
4.7994621,-0.2860599,4.7339461,1.8971,0.0381048,6.0927777,-8.036606
5.0994285,-0.2983341,5.0343305,1.9351,0.2175306,5.6833544,-6.3628238
5.3993949,-0.3294229,5.3319301,2.0176,0.2885898,5.3369702,-6.2599104
5.6993613,-0.3858255,5.6257599,2.1025,0.2748665,4.972698,-7.1755749
5.9993277,-0.4660413,5.9142543,2.1795,0.2374934,4.5191662,-4.9365867
6.2992941,-0.5689006,6.1969302,2.2733,0.473036,4.1786652,-2.0422667
6.5992604,-0.7101163,6.4603209,2.467,0.6775059,4.0293945,-2.0422667
6.8992268,-0.8968304,6.6946216,2.5956,0.1872137,3.874377,3.4118494
7.1991932,-1.0991878,6.9160493,2.6268,0.1376086,4.1300941,3.1543802
7.4991596,-1.3105879,7.1288503,2.6832,0.2055132,4.3531705,-1.2306763
7.799126,-1.5334782,7.3290586,2.7321,0.1218854,4.2675251,-6.3143767
8.0990924,-1.765452,7.5190238,2.7974,0.450645,3.7978374,-1.6869804
8.3990587,-2.0208763,7.6758597,3.0073,0.820192,3.6621707,-1.6869804
8.6990251,-2.3017163,7.7780248,3.1436,0.126788,3.5212809,3.7403246
8.9989915,-2.5901484,7.8692069,3.1126,-0.1408007,3.8266647,3.4580676
9.2989579,-2.8720544,7.969464,3.0956,0.0294886,4.0887615,3.1971106
9.5989243,-3.1544461,8.0690507,3.1079,0.0206703,4.3169459,2.9558463
9.8988907,-3.4382312,8.1671619,3.1074,-0.0142593,4.5176688,2.7327885
10.198857,-3.7214456,8.2659437,3.1051,-0.0013885,4.6956172,2.5265635
10.4988234,-4.0046115,8.3648872,3.1058,0.0022977,4.8543371,2.3359008
10.7987898,-4.2878862,8.4636711,3.106,-0.001102,4.9965961,2.1596261
11.0987562,-4.57099,8.5624482,3.1057,-0.0007045,5.1246076,1.9966538
11.3987226,-4.8541738,8.6613208,3.1056,-0.00028,5.2401775,1.8459798
11.698689,-5.1373365,8.7602173,3.1055,-0.0004645,5.3448035,1.7066762
11.9986553,-5.4203775,8.8591141,3.1053,-0.0004145,5.4397441,1.5778849
12.2986217,-5.7038468,8.9581998,3.1052,-0.0002437,5.5260691,1.4588125
12.5985881,-5.9866448,9.0570746,3.1052,-0.0001027,5.6046971,1.3487258
12.8985545,-6.2698954,9.1561174,3.1052,4.49E-05,5.6764227,1.2469466
13.1985209,-6.5530627,9.2551266,3.1052,0.0002066,5.7419386,1.152848
13.4984873,-6.8360763,9.3540626,3.1053,0.0003513,5.8018523,1.0658503
13.7984536,-7.1196522,9.4531616,3.1054,0.0004865,5.8566994,0.9854178
14.09842,-7.4024387,9.5519389,3.1056,0.0005906,5.9069546,0.911055
14.3983864,-7.6858171,9.6508667,3.1058,0.000681,5.9530399,0.8423038
14.6983528,-7.9689875,9.7496573,2.806,0.0007433,5.9953324,0.7787408
14.9983192,-8.2521886,9.8483878,2.8062,0.0007807,6.0341696,0.7199745
15.2982856,-8.5356976,9.9471512,2.8064,0.0008016,6.0698549,0.6656429
15.5982519,-8.8187632,10.0456843,2.8067,0.0007875,6.1026617,0.6154114
15.8982183,-9.1023152,10.1443116,2.8069,0.000764,6.1328366,0.5689704
16.1981847,-9.3855036,10.2427401,2.8071,0.0007106,6.160603,0.5260341
16.4981511,-9.6689454,10.3411889,2.8073,0.0006454,6.1861631,0.4863378
